UBIGEO,DEPARTAMENTO,PROVINCIA,Distrito,Zona,Latitud,Longitud,cobertura.cell,Educ.sec.comp,esp.vid.nacer,Ing.fam.p.cap,NBS.2017,No.Pobreza,Tasa.docen_pub,cobertura.cell_mf,Tasa.docen_pub_mf
200101,PIURA,PIURA,PIURA,X,-5.1942,-80.6289,91.89189189189189,77.3206684883171,78.74105515718446,1124.1772372535681,81.7,90.213885,107.1288456914335,91.89189189189189,107.1288456914335
200104,PIURA,PIURA,CASTILLA,X,-5.2006,-80.6211,76.19047619047619,72.71675503872983,80.20155828147696,1028.915688621886,73.0,83.74949000000001,83.702709663427,76.19047619047619,83.702709663427
200105,PIURA,PIURA,CATACAOS,X,-5.2697,-80.6764,71.05263157894737,62.515858390410315,78.14388603810477,731.8176685454189,43.2,68.13307,104.74504439258604,71.05263157894737,104.74504439258604
200107,PIURA,PIURA,CURA MORI,X,-5.325,-80.6656,85.0,51.41409818066682,75.58814012425684,497.9705387314675,15.5,68.13307,148.68530884808013,85.0,148.68530884808013
200108,PIURA,PIURA,EL TALLAN,X,-5.4128,-80.68,69.23076923076923,43.02992058288998,74.2499540116052,511.742132828135,9.599999999999994,59.296964,195.58964525407478,69.23076923076923,195.58964525407478
200109,PIURA,PIURA,LA ARENA,X,-5.3464,-80.7108,92.5925925925926,50.46633746500447,77.82903686752694,602.6826383081411,26.5,61.926299,156.4327105475145,92.5925925925926,156.4327105475145
200110,PIURA,PIURA,LA UNION,X,-5.4031,-80.7433,85.0,62.39999678810319,76.40259786416358,672.8003583579583,33.400000000000006,68.13307,145.19838987924095,85.0,145.19838987924095
200111,PIURA,PIURA,LAS LOMAS,X,-4.6578,-80.2442,67.46987951807229,47.04925171219679,78.78138598624281,689.7789450041487,65.4,58.533101,185.41590326126786,67.46987951807229,185.41590326126786
200114,PIURA,PIURA,TAMBO GRANDE,X,-4.9331,-80.3414,73.65591397849462,50.868865211006515,80.72202071327797,729.6720832259953,50.7,61.9263,131.73681821129776,73.65591397849462,131.73681821129776
200115,PIURA,PIURA,26 DE OCTUBRE,X,-5.1847,-80.6703,100.0,72.26811532412637,78.40793944726823,976.3169831713307,67.1,83.74949000000001,64.83846336133126,100.0,64.83846336133126
200201,PIURA,AYABACA,AYABACA,ZG,-4.6392,-79.7161,30.830039525691703,43.757471697442625,66.90211585726183,310.42091029652033,56.1,46.965435,240.48456227703207,30.830039525691703,240.48456227703207
200202,PIURA,AYABACA,FRIAS,X,-4.9342,-79.9431,33.33333333333334,38.37933297210299,68.51826794804614,105.1219668647102,53.2,38.633143000000004,244.0619762070234,33.33333333333334,244.0619762070234
200203,PIURA,AYABACA,JILILI,X,-4.5839,-79.7989,47.61904761904761,44.373378751900965,70.80932495662269,257.48415232916443,73.9,48.526351999999996,227.60115606936415,47.61904761904761,227.60115606936415
200204,PIURA,AYABACA,LAGUNAS,X,-4.79,-79.8456,35.59322033898306,21.801872395147512,67.32877969883586,51.82657148294655,16.599999999999994,31.973461999999998,227.6094276094276,35.59322033898306,227.6094276094276
200205,PIURA,AYABACA,MONTERO,X,-4.6303,-79.8275,63.265306122448976,53.44975167842616,70.1558786688478,338.32774198984936,58.6,53.060406,256.83638011784257,63.265306122448976,256.83638011784257
200206,PIURA,AYABACA,PACAIPAMPA,X,-4.9953,-79.67,12.408759124087581,31.739914268299977,67.02551393447025,177.20702638341197,27.400000000000006,32.83173099999999,288.10853950518754,12.408759124087581,288.10853950518754
200207,PIURA,AYABACA,PAIMAS,ZG,-4.6269,-79.9453,52.27272727272727,34.63543908762015,69.80492445031082,316.8551939994012,59.2,55.989364,219.91622239146992,52.27272727272727,219.91622239146992
200208,PIURA,AYABACA,SAPILLICA,X,-4.7786,-79.9831,20.77922077922078,29.763202790770947,67.50007063720595,126.42739197986367,21.799999999999997,38.00546500000001,257.9971065745057,20.77922077922078,257.9971065745057
200209,PIURA,AYABACA,SICCHEZ,X,-4.5703,-79.765,64.0,33.920034719001215,71.90184334065306,463.5522079254149,87.3,53.75742399999999,196.82886823400764,64.0,196.82886823400764
200210,PIURA,AYABACA,SUYO,ZG,-4.5139,-80.0031,30.0,57.213818698033634,70.09572248353376,433.84874375099554,51.4,64.46057,225.322748777163,30.0,225.322748777163
200301,PIURA,HUANCABAMBA,HUANCABAMBA,X,-5.2394,-79.4508,43.99999999999999,62.21769324538303,65.35963059310035,406.3194918886913,53.5,56.479616,218.6975061377439,43.99999999999999,218.6975061377439
200302,PIURA,HUANCABAMBA,CANCHAQUE,X,-5.3758,-79.6097,36.92307692307693,62.48120564505005,67.60449996573556,415.71541412374347,66.5,64.915351,231.24923528692034,36.92307692307693,231.24923528692034
200303,PIURA,HUANCABAMBA,EL CARMEN DE LA FRONTERA,X,-5.1481,-79.4347,26.530612244897952,55.60787300131145,66.22993016696786,171.56940336194498,47.0,47.25796799999999,233.885170834801,26.530612244897952,233.885170834801
200304,PIURA,HUANCABAMBA,HUARMACA,X,-5.5683,-79.5247,25.84615384615384,42.30794939557186,65.37756662211437,171.62326554814578,48.6,45.798434,255.22932258683556,25.84615384615384,255.22932258683556
200305,PIURA,HUANCABAMBA,LALAQUIZ,X,-5.2128,-79.6783,22.448979591836732,53.96097280220231,64.80721514657311,134.3972847179631,65.1,47.879436,276.4680668666952,22.448979591836732,276.4680668666952
200306,PIURA,HUANCABAMBA,SAN MIGUEL DE EL FAIQUE,X,-5.4022,-79.6053,38.297872340425535,57.17560401804349,67.51251959502795,250.29005948098558,72.0,56.957432999999995,249.25554207565898,38.297872340425535,249.25554207565898
200307,PIURA,HUANCABAMBA,SONDOR,X,-5.315,-79.4106,44.827586206896555,33.825414350143774,64.81573407743915,227.94487715784868,40.4,47.086747,215.46261089987328,44.827586206896555,215.46261089987328
